Entity,Continent,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,Daily cases,Daily deaths,Season
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-06,255.0,832.0,31.0,12,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-07,275.0,842.0,31.0,10,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-08,238.0,850.0,31.0,8,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-09,224.0,856.0,31.0,6,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-10,170.0,868.0,31.0,12,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-11,121.0,872.0,31.0,4,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-12,243.0,876.0,31.0,4,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-13,246.0,880.0,31.0,4,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-14,191.0,898.0,31.0,18,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-15,219.0,916.0,31.0,18,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-16,306.0,933.0,31.0,17,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-17,260.0,946.0,31.0,13,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-18,168.0,948.0,31.0,2,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-19,177.0,949.0,31.0,1,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-20,186.0,964.0,31.0,15,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-21,204.0,969.0,31.0,5,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-22,174.0,981.0,31.0,12,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-23,200.0,989.0,31.0,8,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-24,146.0,998.0,32.0,9,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-25,54.0,1004.0,32.0,6,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-26,173.0,1029.0,33.0,25,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-27,262.0,1050.0,33.0,21,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-28,225.0,1076.0,33.0,26,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-29,276.0,1099.0,33.0,23,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-30,229.0,1122.0,33.0,23,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-31,225.0,1137.0,33.0,15,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-01,102.0,1143.0,33.0,6,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-02,243.0,1164.0,33.0,21,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-03,297.0,1184.0,33.0,20,0,Summer
